"Date Printed: Wednesday, March 1, 2023 11:33:35 AM"
Title: "PrEP coverage and number of persons prescribed | 2017 | 2018 | 2019 | Alabama | Alaska | American Samoa | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Guam | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Northern Mariana Islands | Ohio | Oklahoma | Oregon | Pennsylvania | Puerto Rico | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | U.S. Virgin Islands | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | 13-24 | 25-34 | 35-44 | 45-54 | 55+ | All transmission categories"
Footnote(s): PrEP coverage, reported as a percentage, is calculated as the number of persons aged &ge;16 years classified as having been prescribed PrEP divided by the estimated number of persons aged &ge;16 years who had indications for PrEP. Number prescribed, or “cases”, is defined as the number of persons aged &ge;16 years classified as having been prescribed PrEP during the specified year and includes all FDA-approved drugs for PrEP. “Population” is the annual estimated number of persons with PrEP indications. Total includes people categorized by IQVIA as Black, White, Hispanic, or Other race. Race/ethnicity data are adjusted due to large proportion of missing race/ethnicity. To allow for comparison with other HIV indicators, data are presented for &ge;13- and 13–24-year-olds, but represent &ge;16- and 16-24-years-olds, respectively. Number prescribed are reported through June 2022
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Northern Mariana Islands","69","35-44","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Northern Mariana Islands","69","25-34","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Northern Mariana Islands","69","13-24","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2019","Northern Mariana Islands","69","55+","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2019","Northern Mariana Islands","69","45-54","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2019","Northern Mariana Islands","69","35-44","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2019","Northern Mariana Islands","69","25-34","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2019","Northern Mariana Islands","69","13-24","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2018","Northern Mariana Islands","69","55+","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2018","Northern Mariana Islands","69","45-54","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2018","Northern Mariana Islands","69","35-44","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2018","Northern Mariana Islands","69","25-34","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2018","Northern Mariana Islands","69","13-24","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2017","Northern Mariana Islands","69","55+","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2017","Northern Mariana Islands","69","45-54","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2017","Northern Mariana Islands","69","35-44","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2017","Northern Mariana Islands","69","25-34","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2017","Northern Mariana Islands","69","13-24","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2021","Puerto Rico","72","55+","All races/ethnicities","Both sexes","All transmission categories","55","3.7","1,470"
"PrEP coverage and number of persons prescribed","2021","Puerto Rico","72","45-54","All races/ethnicities","Both sexes","All transmission categories","126","6.2","2,020"
"PrEP coverage and number of persons prescribed","2021","Puerto Rico","72","35-44","All races/ethnicities","Both sexes","All transmission categories","154","9.0","1,710"
"PrEP coverage and number of persons prescribed","2021","Puerto Rico","72","25-34","All races/ethnicities","Both sexes","All transmission categories","225","7.9","2,850"
"PrEP coverage and number of persons prescribed","2021","Puerto Rico","72","13-24","All races/ethnicities","Both sexes","All transmission categories","50","3.0","1,650"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Puerto Rico","72","55+","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","1,470"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Puerto Rico","72","45-54","All races/ethnicities","Both sexes","All transmission categories","77","3.8","2,020"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Puerto Rico","72","35-44","All races/ethnicities","Both sexes","All transmission categories","95","5.6","1,710"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Puerto Rico","72","25-34","All races/ethnicities","Both sexes","All transmission categories","140","4.9","2,850"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Puerto Rico","72","13-24","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","1,650"
"PrEP coverage and number of persons prescribed","2019","Puerto Rico","72","55+","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","1,470"
"PrEP coverage and number of persons prescribed","2019","Puerto Rico","72","45-54","All races/ethnicities","Both sexes","All transmission categories","70","3.5","2,020"
"PrEP coverage and number of persons prescribed","2019","Puerto Rico","72","35-44","All races/ethnicities","Both sexes","All transmission categories","94","5.5","1,710"
"PrEP coverage and number of persons prescribed","2019","Puerto Rico","72","25-34","All races/ethnicities","Both sexes","All transmission categories","112","3.9","2,850"
"PrEP coverage and number of persons prescribed","2019","Puerto Rico","72","13-24","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","1,650"
"PrEP coverage and number of persons prescribed","2018","Puerto Rico","72","55+","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","1,470"
"PrEP coverage and number of persons prescribed","2018","Puerto Rico","72","45-54","All races/ethnicities","Both sexes","All transmission categories","51","2.5","2,020"
"PrEP coverage and number of persons prescribed","2018","Puerto Rico","72","35-44","All races/ethnicities","Both sexes","All transmission categories","68","4.0","1,710"
"PrEP coverage and number of persons prescribed","2018","Puerto Rico","72","25-34","All races/ethnicities","Both sexes","All transmission categories","84","2.9","2,850"
"PrEP coverage and number of persons prescribed","2018","Puerto Rico","72","13-24","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","1,650"
"PrEP coverage and number of persons prescribed","2017","Puerto Rico","72","55+","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","1,470"
"PrEP coverage and number of persons prescribed","2017","Puerto Rico","72","45-54","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","2,020"
"PrEP coverage and number of persons prescribed","2017","Puerto Rico","72","35-44","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","1,710"
"PrEP coverage and number of persons prescribed","2017","Puerto Rico","72","25-34","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","2,850"
"PrEP coverage and number of persons prescribed","2017","Puerto Rico","72","13-24","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","1,650"
"PrEP coverage and number of persons prescribed","2021","U.S. Virgin Islands","78","55+","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2021","U.S. Virgin Islands","78","45-54","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2021","U.S. Virgin Islands","78","35-44","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2021","U.S. Virgin Islands","78","25-34","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2021","U.S. Virgin Islands","78","13-24","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","U.S. Virgin Islands","78","55+","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","U.S. Virgin Islands","78","45-54","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","U.S. Virgin Islands","78","35-44","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
